"Kod";"Nazwa";"Płeć";"Kraj obywatelstwa";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
1000000;"ŁÓDZKIE";"ogółem";"Węgry";"2011";0;"osoba";"";
1000000;"ŁÓDZKIE";"ogółem";"Wielka Brytania";"2011";129;"osoba";"";
1000000;"ŁÓDZKIE";"ogółem";"Wietnam";"2011";0;"osoba";"";
1000000;"ŁÓDZKIE";"ogółem";"Włochy";"2011";113;"osoba";"";
1200000;"MAŁOPOLSKIE";"ogółem";"bezpaństwowcy";"2011";145;"osoba";"";
1200000;"MAŁOPOLSKIE";"ogółem";"obywatelstwo nieustalone";"2011";580;"osoba";"";
1200000;"MAŁOPOLSKIE";"ogółem";"Arabia Saudyjska";"2011";0;"osoba";"";
1200000;"MAŁOPOLSKIE";"ogółem";"Armenia";"2011";0;"osoba";"";
1200000;"MAŁOPOLSKIE";"ogółem";"Austria";"2011";195;"osoba";"";
1200000;"MAŁOPOLSKIE";"ogółem";"Białoruś";"2011";185;"osoba";"";
1200000;"MAŁOPOLSKIE";"ogółem";"Bułgaria";"2011";0;"osoba";"";
1200000;"MAŁOPOLSKIE";"ogółem";"Chiny";"2011";0;"osoba";"";
1200000;"MAŁOPOLSKIE";"ogółem";"Czechy";"2011";105;"osoba";"";
1200000;"MAŁOPOLSKIE";"ogółem";"Francja";"2011";112;"osoba";"";
1200000;"MAŁOPOLSKIE";"ogółem";"Grecja";"2011";0;"osoba";"";
1200000;"MAŁOPOLSKIE";"ogółem";"Hiszpania";"2011";0;"osoba";"";
1200000;"MAŁOPOLSKIE";"ogółem";"Holandia";"2011";0;"osoba";"";
1200000;"MAŁOPOLSKIE";"ogółem";"Indie";"2011";123;"osoba";"";
1200000;"MAŁOPOLSKIE";"ogółem";"Japonia";"2011";0;"osoba";"";
1200000;"MAŁOPOLSKIE";"ogółem";"Kazachstan";"2011";0;"osoba";"";
1200000;"MAŁOPOLSKIE";"ogółem";"Litwa";"2011";0;"osoba";"";
1200000;"MAŁOPOLSKIE";"ogółem";"Mongolia";"2011";0;"osoba";"";
1200000;"MAŁOPOLSKIE";"ogółem";"Niemcy";"2011";221;"osoba";"";
1200000;"MAŁOPOLSKIE";"ogółem";"Rosja";"2011";341;"osoba";"";
1200000;"MAŁOPOLSKIE";"ogółem";"Rumunia";"2011";0;"osoba";"";
1200000;"MAŁOPOLSKIE";"ogółem";"Serbia";"2011";0;"osoba";"";
1200000;"MAŁOPOLSKIE";"ogółem";"Stany Zjednoczone";"2011";205;"osoba";"";
1200000;"MAŁOPOLSKIE";"ogółem";"Szwecja";"2011";0;"osoba";"";
1200000;"MAŁOPOLSKIE";"ogółem";"Turcja";"2011";0;"osoba";"";
1200000;"MAŁOPOLSKIE";"ogółem";"Ukraina";"2011";874;"osoba";"";
1200000;"MAŁOPOLSKIE";"ogółem";"Węgry";"2011";100;"osoba";"";
1200000;"MAŁOPOLSKIE";"ogółem";"Wielka Brytania";"2011";0;"osoba";"";
1200000;"MAŁOPOLSKIE";"ogółem";"Wietnam";"2011";166;"osoba";"";
1200000;"MAŁOPOLSKIE";"ogółem";"Włochy";"2011";170;"osoba";"";
1400000;"MAZOWIECKIE";"ogółem";"bezpaństwowcy";"2011";287;"osoba";"";
1400000;"MAZOWIECKIE";"ogółem";"obywatelstwo nieustalone";"2011";1736;"osoba";"";
1400000;"MAZOWIECKIE";"ogółem";"Arabia Saudyjska";"2011";100;"osoba";"";
1400000;"MAZOWIECKIE";"ogółem";"Armenia";"2011";289;"osoba";"";
1400000;"MAZOWIECKIE";"ogółem";"Austria";"2011";230;"osoba";"";
1400000;"MAZOWIECKIE";"ogółem";"Białoruś";"2011";911;"osoba";"";
1400000;"MAZOWIECKIE";"ogółem";"Bułgaria";"2011";239;"osoba";"";
1400000;"MAZOWIECKIE";"ogółem";"Chiny";"2011";860;"osoba";"";
1400000;"MAZOWIECKIE";"ogółem";"Czechy";"2011";184;"osoba";"";
1400000;"MAZOWIECKIE";"ogółem";"Francja";"2011";532;"osoba";"";
1400000;"MAZOWIECKIE";"ogółem";"Grecja";"2011";0;"osoba";"";
1400000;"MAZOWIECKIE";"ogółem";"Hiszpania";"2011";261;"osoba";"";
